Referência;Código de barras (EAN-13);Nome para catálogo;Nome curto;Categoria;Linha / Estilo;Largura (cm);Altura (cm);Dimensões;Descrição para catálogo;Unidade de venda;Caixa master;NCM;CNPJ do fabricante;Slug sugerido;Descrição original;Observações
ME26202901;7898973004087;Kit Presente Encantado 20 × 29 cm — Infantil;Kit 20 × 29 cm — Infantil;Kits para presente;Infantil;20;29;20 × 29 cm;Kit Presente Encantado no formato 20 × 29 cm, da linha Infantil. Estampas lúdicas e coloridas para presentes infantis.;50;250;39232990;48.159.471/0001-73;kit-presente-encantado-20-29-cm-infantil;KIT PRESENTE ENCANTADO 20x29cm - INFANTIL;
ME26202902;7898973004094;Kit Presente Encantado 20 × 29 cm — Casual / Masculino;Kit 20 × 29 cm — Casual / Masculino;Kits para presente;Casual / Masculino;20;29;20 × 29 cm;Kit Presente Encantado no formato 20 × 29 cm, da linha Casual / Masculino. Estampas versáteis para presentes casuais e masculinos.;50;250;39232990;48.159.471/0001-73;kit-presente-encantado-20-29-cm-casual-masculino;KIT PRESENTE ENCANTADO 20x29cm - CASUAL/MASCULINO;
ME26202903;7898973004100;Kit Presente Encantado 20 × 29 cm — Romântico / Feminino;Kit 20 × 29 cm — Romântico / Feminino;Kits para presente;Romântico / Feminino;20;29;20 × 29 cm;Kit Presente Encantado no formato 20 × 29 cm, da linha Romântico / Feminino. Estampas delicadas para presentes românticos e femininos.;50;250;39232990;48.159.471/0001-73;kit-presente-encantado-20-29-cm-romantico-feminino;KIT PRESENTE ENCANTADO 20x29cm - ROMANTICO/FEMININO;
ME26253501;7898973004117;Kit Presente Encantado 25 × 35 cm — Infantil;Kit 25 × 35 cm — Infantil;Kits para presente;Infantil;25;35;25 × 35 cm;Kit Presente Encantado no formato 25 × 35 cm, da linha Infantil. Estampas lúdicas e coloridas para presentes infantis.;50;250;39232990;48.159.471/0001-73;kit-presente-encantado-25-35-cm-infantil;KIT PRESENTE ENCANTADO 25x35cm - INFANTIL;
ME26253502;7898973004124;Kit Presente Encantado 25 × 35 cm — Casual / Masculino;Kit 25 × 35 cm — Casual / Masculino;Kits para presente;Casual / Masculino;25;35;25 × 35 cm;Kit Presente Encantado no formato 25 × 35 cm, da linha Casual / Masculino. Estampas versáteis para presentes casuais e masculinos.;50;250;39232990;48.159.471/0001-73;kit-presente-encantado-25-35-cm-casual-masculino;KIT PRESENTE ENCANTADO 25x35cm - CASUAL/MASCULINO;
ME26253503;7898973004131;Kit Presente Encantado 25 × 35 cm — Romântico / Feminino;Kit 25 × 35 cm — Romântico / Feminino;Kits para presente;Romântico / Feminino;25;35;25 × 35 cm;Kit Presente Encantado no formato 25 × 35 cm, da linha Romântico / Feminino. Estampas delicadas para presentes românticos e femininos.;50;250;39232990;48.159.471/0001-73;kit-presente-encantado-25-35-cm-romantico-feminino;KIT PRESENTE ENCANTADO 25x35cm - ROMANTICO/FEMININO;
ME26304401;7898973004148;Kit Presente Encantado 30 × 44 cm — Infantil;Kit 30 × 44 cm — Infantil;Kits para presente;Infantil;30;44;30 × 44 cm;Kit Presente Encantado no formato 30 × 44 cm, da linha Infantil. Estampas lúdicas e coloridas para presentes infantis.;50;250;39232990;48.159.471/0001-73;kit-presente-encantado-30-44-cm-infantil;KIT PRESENTE ENCANTADO 30x44cm - INFANTIL;
ME26304402;7898973004155;Kit Presente Encantado 30 × 44 cm — Casual / Masculino;Kit 30 × 44 cm — Casual / Masculino;Kits para presente;Casual / Masculino;30;44;30 × 44 cm;Kit Presente Encantado no formato 30 × 44 cm, da linha Casual / Masculino. Estampas versáteis para presentes casuais e masculinos.;50;250;39232990;48.159.471/0001-73;kit-presente-encantado-30-44-cm-casual-masculino;KIT PRESENTE ENCANTADO 30x44cm - CASUAL/MASCULINO;
ME26304403;7898973004162;Kit Presente Encantado 30 × 44 cm — Romântico / Feminino;Kit 30 × 44 cm — Romântico / Feminino;Kits para presente;Romântico / Feminino;30;44;30 × 44 cm;Kit Presente Encantado no formato 30 × 44 cm, da linha Romântico / Feminino. Estampas delicadas para presentes românticos e femininos.;50;250;39232990;48.159.471/0001-73;kit-presente-encantado-30-44-cm-romantico-feminino;KIT PRESENTE ENCANTADO 30x44cm - ROMANTICO/FEMININO;
ME26435901;7898973004179;Kit Presente Encantado 43 × 59 cm — Infantil;Kit 43 × 59 cm — Infantil;Kits para presente;Infantil;43;59;43 × 59 cm;Kit Presente Encantado no formato 43 × 59 cm, da linha Infantil. Estampas lúdicas e coloridas para presentes infantis.;50;200;39232990;48.159.471/0001-73;kit-presente-encantado-43-59-cm-infantil;KIT PRESENTE ENCANTADO 43x59cm - INFANTIL;
ME26435902;7898973004186;Kit Presente Encantado 43 × 59 cm — Casual / Masculino;Kit 43 × 59 cm — Casual / Masculino;Kits para presente;Casual / Masculino;43;59;43 × 59 cm;Kit Presente Encantado no formato 43 × 59 cm, da linha Casual / Masculino. Estampas versáteis para presentes casuais e masculinos.;50;200;39232990;48.159.471/0001-73;kit-presente-encantado-43-59-cm-casual-masculino;KIT PRESENTE ENCANTADO 43x59cm - CASUAL/MASCULINO;
ME26435903;7898973004193;Kit Presente Encantado 43 × 59 cm — Romântico / Feminino;Kit 43 × 59 cm — Romântico / Feminino;Kits para presente;Romântico / Feminino;43;59;43 × 59 cm;Kit Presente Encantado no formato 43 × 59 cm, da linha Romântico / Feminino. Estampas delicadas para presentes românticos e femininos.;50;200;39232990;48.159.471/0001-73;kit-presente-encantado-43-59-cm-romantico-feminino;KIT PRESENTE ENCANTADO 43x59cm - ROMANTICO/FEMININO;
ME26588901;7898973004209;Kit Presente Encantado 58 × 89 cm — Infantil;Kit 58 × 89 cm — Infantil;Kits para presente;Infantil;58;89;58 × 89 cm;Kit Presente Encantado no formato 58 × 89 cm, da linha Infantil. Estampas lúdicas e coloridas para presentes infantis.;50;150;39232990;48.159.471/0001-73;kit-presente-encantado-58-89-cm-infantil;KIT PRESENTE ENCANTADO 58x59cm - INFANTIL;"Dimensão normalizada para 58 × 89 cm; a descrição original informa 58 × 59 cm, divergindo da referência ME265889."
ME26588902;7898973004216;Kit Presente Encantado 58 × 89 cm — Casual / Masculino;Kit 58 × 89 cm — Casual / Masculino;Kits para presente;Casual / Masculino;58;89;58 × 89 cm;Kit Presente Encantado no formato 58 × 89 cm, da linha Casual / Masculino. Estampas versáteis para presentes casuais e masculinos.;50;150;39232990;48.159.471/0001-73;kit-presente-encantado-58-89-cm-casual-masculino;KIT PRESENTE ENCANTADO 58x59cm - CASUAL/MASCULINO;"Dimensão normalizada para 58 × 89 cm; a descrição original informa 58 × 59 cm, divergindo da referência ME265889."
ME26588903;7898973004223;Kit Presente Encantado 58 × 89 cm — Romântico / Feminino;Kit 58 × 89 cm — Romântico / Feminino;Kits para presente;Romântico / Feminino;58;89;58 × 89 cm;Kit Presente Encantado no formato 58 × 89 cm, da linha Romântico / Feminino. Estampas delicadas para presentes românticos e femininos.;50;150;39232990;48.159.471/0001-73;kit-presente-encantado-58-89-cm-romantico-feminino;KIT PRESENTE ENCANTADO 58x59cm - ROMANTICO/FEMININO;"Dimensão normalizada para 58 × 89 cm; a descrição original informa 58 × 59 cm, divergindo da referência ME265889."
